[2024-03-24 11:03:45,425: INFO: main: Hi]
[2024-03-24 11:04:33,204: INFO: main: Hi]
[2024-03-24 11:32:22,633: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 11:32:22,634: INFO: common: created directory at: artifacts]
[2024-03-24 11:40:52,206: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 11:40:52,207: INFO: common: created directory at: artifacts]
[2024-03-24 11:41:47,836: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 11:41:47,837: INFO: common: created directory at: artifacts]
[2024-03-24 11:42:01,294: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 11:42:01,295: INFO: common: created directory at: artifacts]
[2024-03-24 11:42:14,776: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 11:42:14,777: INFO: common: created directory at: artifacts]
[2024-03-24 11:42:53,064: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 11:42:53,065: INFO: common: created directory at: artifacts]
[2024-03-24 11:43:17,276: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 11:43:17,277: INFO: common: created directory at: artifacts]
[2024-03-24 11:45:31,436: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 11:45:31,437: INFO: common: created directory at: artifacts]
[2024-03-24 11:45:43,468: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 11:45:43,469: INFO: common: created directory at: artifacts]
[2024-03-24 11:46:15,212: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 11:47:25,035: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 11:47:25,036: INFO: common: created directory at: artifacts]
[2024-03-24 11:55:58,224: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 11:55:58,225: INFO: common: created directory at: artifacts]
[2024-03-24 11:56:45,960: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 11:56:45,961: INFO: common: created directory at: artifacts]
[2024-03-24 11:56:45,962: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-24 12:00:27,946: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 12:00:27,947: INFO: common: created directory at: artifacts]
[2024-03-24 12:00:27,948: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-24 12:01:15,499: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 12:01:15,500: INFO: common: created directory at: artifacts]
[2024-03-24 12:01:15,500: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-24 12:01:37,227: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 12:01:37,228: INFO: common: created directory at: artifacts]
[2024-03-24 12:01:37,229: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-24 12:02:04,385: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 12:02:04,386: INFO: common: created directory at: artifacts]
[2024-03-24 12:02:04,387: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-24 12:02:14,620: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 12:02:14,621: INFO: common: created directory at: artifacts]
[2024-03-24 12:02:14,622: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-24 12:02:55,587: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 12:02:55,588: INFO: common: created directory at: artifacts]
[2024-03-24 12:02:55,589: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-24 12:18:41,540: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 12:18:41,541: INFO: common: created directory at: artifacts]
[2024-03-24 12:18:41,542: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-24 12:19:10,850: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 12:19:10,851: INFO: common: created directory at: artifacts]
[2024-03-24 12:19:10,852: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-24 12:21:41,917: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 12:21:41,918: INFO: common: created directory at: artifacts]
[2024-03-24 12:21:41,919: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-24 12:33:35,255: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 12:33:35,256: INFO: common: created directory at: artifacts]
[2024-03-24 12:33:35,257: INFO: common: created directory at: artifacts/data_ingestion]
[2024-03-24 12:33:35,738: INFO: data_ingestion:  test data downloaded !....]
[2024-03-24 12:33:36,147: INFO: data_ingestion:  test data downloaded !....]
[2024-03-24 12:35:08,122: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-03-24 12:35:08,122: INFO: common: created directory at: artifacts]
